,title,area,numberOfRooms,price,town,district
13614,ÇİĞDEM EMLAK'TAN ZEYTİNBURNU REAL İSTANBULDA SATILIK DAİRE,101.0,2+1,5.850.000,Merkezefendi,Seyitnizam Mah.
13615,ZEYTİNBURNU CADDE ÜZERİNDE KELEPİR ACİL SATILIK DAİRE,110.0,2+1,1.100.000,Çırpıcı,Sümer Mh.
13616,DOST EMLAK'TAN LÜKS DAİRE,70.0,2+1,2.600.000,Beştelsiz,Telsiz Mah.
13617,ÇİĞDEM EMLAK'TAN İN İSTANBUL' da HAVUZ CEPHELİ SATILIK 11.KAT,65.0,1+1,2.300.000,Maltepe,
13618,SATILIK DAİRE TRANWAY YOLUNDA,80.0,2+1,1.120.000,Çırpıcı,Çırpıcı Mh.
13619,SATILIK DAİRE MİNİBÜS YOLUNDA,80.0,2+1,1.120.000,Beştelsiz,Gökalp Mh.
13620,Sahibinden satılık tertemiz 2+1,85.0,2+1,1.475.000,Çırpıcı,Sümer Mh.
13621,ÇİĞDEM EMLAK'TAN SAHIL PARK EVLERİNDE SATILIK 2+1 GİRİŞ DAİRE,86.0,2+1,2.500.000,Çırpıcı,Sümer Mh.
13622,PS PROJE'DEN İNİSTANBUL TOPKAPI PROJESİNDE SATILIK 1+1 DAİRE,49.0,1+1,2.000.000,Maltepe,
13623,ÇİĞDEM EMLAKTAN LOCA MAHAL SİTESİNDE SATILIK LÜKS EŞYAL3+1 DAİRE,177.0,3+1,11.400.000,Çırpıcı,Sümer Mh.
13624,ZEYTİNBURNU LOCAMAHALDE TURYAP'TAN ÇİFT CEPHELİ 3+1,120.0,3+1,6.800.000,Çırpıcı,Sümer Mh.
13625,ZEYTİNBURNU GÖKALP 'TE KÖŞE BAŞI 2+1 SATILIK DAİRE,95.0,2+1,1.750.000,Beştelsiz,Gökalp Mh.
13626,YEŞİLTEPE'DE SIFIR BİNADA 2+1 ASANSÖRLÜ LÜX KÖŞEBAŞI DAİRE,100.0,2+1,2.100.000,Çırpıcı,Yeşiltepe Mh.
13627,"OLİVİUM'A PARALEL 2+1, KREDİYE UYGUN DAİRE",85.0,2+1,1.750.000,Beştelsiz,Gökalp Mh.
13628,Acil Satılık yeni dubleks daire,150.0,4+1,2.049.000,Çırpıcı,Yeşiltepe Mh.
13629,ANA CADDE ÜZERİ YENİ BİNADA DENİZ MANZARALI LÜX DUBLEX DAİRE,150.0,3+1,3.350.000,Çırpıcı,Sümer Mh.
13630,MUHTEŞEM KONUMDA ULUCAMİNİN KARŞISI ARAKAT SATILIK DAİRE,90.0,2+1,1.400.000,Çırpıcı,Nuripaşa Mh.
